,title,date,place,content,target
28,『제2기 JDC소통위원회』소통위원 공개모집 공고,일시: 2019.8.13.화 14시~16시,장소: 첨단로330 세미양빌딩 제주혁신성장센터 2층 프로젝트인피니티,사업내용 : 제주 공역을 활용한 드론 기술 검증 및 사업모델 발굴,신청자격
29,함께 JDC작은바람 사업 공모,제공일자 : 2019. 7. 18,NONE,NONE, 신청자격
30,JDC제주혁신성장센터 8월 공개특강,NONE,NONE,NONE,신청자격 : 읍·면·동 마을(행정리 단위) 및 마을공동체를 지향하는 5인 이상의 공동체 및 단체
31,2019년도 공공기관 청렴도 측정 관련 개인정보 제3자 제공사항 알림,일시 : 2019.7.24.(수) / 10시,장소 : JDC 본사 엘리트빌딩 4층 중회의실 1,NONE, 신청자격 : 읍·면·동 마을(행정리 단위) 및 마을공동체를 지향하는 5인 이상의 공동체 및 단체
32,신화역사공원 J지구 공원조성사업 조경(특화공간) 설계 공모 심사결과 알림,NONE,NONE,NONE,NONE
33,2019 지역사회와 함께 성장하는 JDC 대국민 아이디어 공모전 1차 서면평가 선정결과,일시 : 2019년 7월 18일(목) 15:00 ~ 17:30,장소 : JDC 본사 엘리트빌딩 4층 대회의실,NONE,NONE
34,JDC 미래전략 도민참여단 모집(7.17~8.7),NONE,NONE,NONE,NONE
35,2019년 JDC 혁신 세미나 개최 알림,접수기간 : ~ 19. 7. 17.(수) 18:00까지,NONE,내용 :미국_자체어학연수(40시간) + 현지 어학·직무 연수(8주) + 기업인턴십(8주),NONE
36,신화역사공원 J지구 공원조성사업 건축설계(제안공모) 심사결과 알림,일시 : 2019.7.3.(수) 14:00~16:00,장소 : 제주혁신성장센터 2층 인피니티홀,연수내용 :미국_자체어학연수(40시간) + 현지 어학·직무 연수(8주) + 기업인턴십(8주),NONE
37,"2019. 제13회 JDC 글로벌인재육성 해외인턴십(미국,중국,독일) 연수생 모집 안내",공모기간 : 2019.07.02.(화) ~ 08.31.(토),NONE,NONE,참여대상 : 대한민국 국민으로 현재 대한민국에 주소를 두고 거주하는 사람
38,제주혁신성장센터의 성공적인 운영을 위한 전문가 초청 토론회 개최 알림,사업기간) 2019. 8. 1. ~ 2021. 1. 31. / 18개월,장소 : 개별 통보,내용),신청자격
39,JDC 국민(도민) 참여예산 사업 공모 안내,일 시 2019. 7. 11.(목) 14:00,장 소 : 첨단과학기술단지 세미양빌딩 대강당,사업개요, 신청자격
40,JDC 일자리 지원공간(J-CUBE) 위탁운영기관 선정 재공모,공모기간 : 2019.06.20.(목) ~ 07.10.(수),NONE,사업내용),공모대상 : 대한민국 누구나
41,"JDC 글로벌 아카데미 강연 알림(7강, 8강)",공모기간 : 2019년 6월 12일(수) ~ 6월 21일(금) 10일간,NONE,내용은 계약서에 명시하지 않더라도 계약서와 동일한 효력을 가짐.,공모대상 단위매장
42,2019 지역사회와 함께 성장하는 JDC 사회적가치 실현 대국민 아이디어 공모전 공고,모집기간) 2019.06.10.(월)~2019.06.24.(월),NONE,NONE,자격요건) 다음 각 호의 어느 하나에 해당하는 자
43,JDC지정면세점 신규 입점 브랜드(협력업체) 제안 공고,사업기간) 2019. 7. 1. ~ 2020. 12. 31. / 18개월,장소 : 개별 통보,내용),신청자격
44,JDC 고문변호사 공개모집 알림,NONE,NONE,사업개요, 신청자격
45,JDC 일자리 지원 공간(J-CUBE) 위탁운영기관 모집 공고,모집기간 : ’19.5.17.(금) ~ 5.24.(금),NONE,사업내용),NONE
46,JDC 시민참여혁신단 2기 선정 결과 알림,사업기간) 협약일로부터 2019년 12월 31일,NONE,내용,신청자격
